Title,Author,Time,News Content
Canadian Therapist Gives Up License After Satanists Expose Her 'Mind Control' Talks,Ed Cara,2019-11-05T18:10:00Z,"Activists with The Satanic Temple say a now-former therapist in Canada has been pushing conspiracies about globe-spanning, mind-controlling cults for years. And after they exposed some of her professional talks to her licensing board, she voluntarily gave up …"
"""Meghan Markle For President?"" - ET Canada",,2019-11-02T20:51:01Z,"""Meghan Markle For President?"" ET Canada Princess Diana Had to Stop Wearing This Popular Brand Because of Prince Charles and Camilla's Affair Showbiz Cheat Sheet What Happened to Princess Diana--and Why It's Not Happening to Meghan E! NEWS KENNETH ROSE'S secr…"
Investigation Underway After 5 Teens Shot In Toronto - HuffPost Canada,Sima Shakeri,2019-11-01T02:36:52Z,Investigation Underway After 5 Teens Shot In Toronto HuffPost Canada Targeted shooting in Toronto caught on video CBC News: The National Security video captures Toronto apartment shooting that sent 5 teenagers to hospital CBC.ca Toronto police chief extends g…
China to resume importing beef and pork from Canada - CTV News,"Ryan Flanagan, Cillian O'Brien",2019-11-05T18:16:00Z,China to resume importing beef and pork from Canada CTV News Beijing lifts ban on Canadian beef and pork as swine fever devastates China's hog farms The Globe and Mail China to resume imports of Canadian beef and pork; canola market still closed Calgary Heral…
‘Terminator: Dark Fate’ Powers to $2.35 Million at Thursday Box Office - Yahoo News Canada,,2019-11-01T15:15:00Z,‘Terminator: Dark Fate’ Powers to $2.35 Million at Thursday Box Office Yahoo News Canada Katherine Schwarzenegger cried while watching dad in 'Terminator: Dark Fate' CANOE Tim Miller Thinks There's a Simple Reason Why Other Terminator Sequels Weren't as Good …
"U.K. Halts Fracking in England, Citing Quake Concerns",Elian Peltier,2019-11-02T14:18:29Z,"Boris Johnson’s government, which is preparing for a general election, said the ban would be in place until there was “compelling new evidence” that it could be carried out safely."
Refugee advocates set to challenge Canada's border pact with U.S. in Federal Court - The Globe and Mail,,2019-11-03T23:43:31Z,Groups say asylum seekers should be given protections at official border crossings because the U.S. under Donald Trump is no longer a safe country for refugees
Encana's move won't trigger stampede into US: Vermilion CEO - BNNBloomberg.ca,BNN Bloomberg,2019-11-01T11:22:08Z,Encana's move won't trigger stampede into US: Vermilion CEO BNNBloomberg.ca Encana declaring itself American is a gut punch for Alberta CBC.ca 'A tragedy for Canada': Encana shift to U.S. seen as another blow to morale in Alberta Calgary Herald Encana sheds C…
Your Monday Briefing,Mike Ives,2019-11-04T10:31:05Z,"Donald Trump, Under Armour, ‘Star Wars’: Here's what you need to know."
"U.S. House Democrat Neal talks new NAFTA with Trudeau, Freeland and Hadju - The Globe and Mail",Mike Blanchfield,2019-11-05T21:06:47Z,"U.S. House Democrat Neal talks new NAFTA with Trudeau, Freeland and Hadju The Globe and Mail A senior Democrat comes to Ottawa to talk NAFTA. But what do Democrats want? CBC.ca Canadian trade representatives to meet U.S. delegation Global News One focus of th…"
Twitter suspends accounts affiliated with Hamas and Hezbollah,Catherine Shu,2019-11-05T07:36:16Z,"Twitter suspended several accounts affiliated with Hamas and Hezbollah over the weekend after being repeatedly asked to do so by a bipartisan group of U.S. Representatives. The lawmakers—Josh Gottheimer (D-NJ), Tom Reed (R-NY), Max Rose (D-NY) and Brian Fitzp…"
Chris Pratt and Katherine Schwarzenegger Have Terminator Date Night at Dad Arnold’s New Movie - Yahoo News Canada,,2019-11-01T14:01:00Z,Chris Pratt and Katherine Schwarzenegger Have Terminator Date Night at Dad Arnold’s New Movie Yahoo News Canada Tim Miller Thinks There's a Simple Reason Why Other Terminator Sequels Weren't as Good as Dark Fate Gizmodo 'Terminator: Dark Fate' director Tim Mi…
Breaking: Earth Hot,"Yessenia Funes on Earther, shared by Andrew Couts to Gizmodo",2019-11-05T20:31:00Z,"October is a time for pumpkin spice lattes, scarves—and record-breaking heat. Yup, October 2019 was the hottest October ever documented, but c’mon, does that surprise anyone anymore? Read more..."
McDonald's CEO steps down after relationship with employee - CP24 Toronto's Breaking News,Cathy Bussewitz And Dee-Ann Durbin,2019-11-03T23:17:00Z,McDonald's CEO steps down after relationship with employee CP24 Toronto's Breaking News McDonald’s CEO resigns over consensual relationship with employee Global News McDonald's CEO Steve Easterbrook out after 'poor judgment' involving relationship with employ…
Vancouver Park Board uses past lessons to save prized koi from hungry otter - The Globe and Mail,,2019-11-04T02:50:06Z,"Vancouver Park Board uses past lessons to save prized koi from hungry otter The Globe and Mail Vancouver otter terrorizing koi is ‘probably’ the same one as last year, wildlife experts say Toronto Star Otter sighting shuts down Vancouver Chinese garden, six k…"
Band Crazy Town totals van after colliding with moose in Ontario - CTV News,CTVNews.ca Writer,2019-11-01T20:45:00Z,Band Crazy Town totals van after colliding with moose in Ontario CTV News One hit wonder band Crazy Town survives collision with moose - Canada News Castanet.net Crazy Town's Tour Van Destroyed by Moose Encounter in Ontario Exclaim! Crazy Town tour bus totall…
GARRIOCH GAME REPORT: Sabourin OK after scary collision in Senators' loss to Bruins - Ottawa Sun,,2019-11-03T03:28:00Z,"GARRIOCH GAME REPORT: Sabourin OK after scary collision in Senators' loss to Bruins Ottawa Sun Senators' Scott Sabourin leaves ice on stretcher after collision with Bruins' David Backes Yahoo Canada Sports This Week In NHL Numbers: Hottest players, longest st…"
Senators forward Scott Sabourin stretchered off ice vs. Bruins - Sportsnet.ca,Associated Press,2019-11-02T23:49:00Z,Senators forward Scott Sabourin stretchered off ice vs. Bruins Sportsnet.ca Sens' Sabourin stretchered off vs. Bruins TSN Senators' Scott Sabourin leaves ice on stretcher after collision with Bruins' David Backes Yahoo Canada Sports 5 thoughts on the Bruins’ …
"Doug Ford offers to host premiers’ meeting, lends support to Alberta on equalization fight - The Globe and Mail",,2019-11-04T23:48:45Z,"Doug Ford offers to host premiers’ meeting, lends support to Alberta on equalization fight The Globe and Mail Premier Doug Ford fundraises off of western separation CTV News Doug Ford Says He Sympathizes With The West After Being Asked About French Speakers H…"
Buckingham Palace: Queen's new outfits won't use real fur - World News - Castanet.net,,2019-11-06T14:38:00Z,"Buckingham Palace: Queen's new outfits won't use real fur - World News Castanet.net Queen eliminating fur from wardrobe, senior dresser says CTV News The Queen makes royal history by going fur-free, longtime dressmaker Angela Kelly reveals in new book HELLO! …"
How Much Is The Price Of An Eighth Where You Live?,,2019-11-04T20:30:00Z,New information shows just how much the cost of weed is depending on where you call home.
Canadiens Game Day: Claude Julien the first star in win over Bruins - Montreal Gazette,,2019-11-06T05:48:45Z,"Canadiens Game Day: Claude Julien the first star in win over Bruins Montreal Gazette [Highlight] Victor Mete jumps up and scores his second NHL goal Habs Eyes on the Prize Canadiens fans give Zdeno Chara standing ovation for 1,500th game Yahoo Canada Sports M…"
JONES: Edmonton Oilers miss opportunity to match history - Edmonton Sun,,2019-11-05T17:21:00Z,JONES: Edmonton Oilers miss opportunity to match history Edmonton Sun Oilers undone after being forced to endure Coyotes’ ‘boring’ approach Sportsnet.ca How surprising has Draisaitl's production been the last few seasons? TSN Player grades: Oilers come back t…
"‘It wasn’t my best day,’ Legault says as he offers grandfather clause to students - montrealgazette.com",,2019-11-06T13:41:15Z,"‘It wasn’t my best day,’ Legault says as he offers grandfather clause to students montrealgazette.com Quebec backtracks on changes to popular student immigration program CBC.ca Quebec Minister Says Tearful Students Changed His Mind On Immigration Program Huff…"
Avengers: Endgame will be a Day One title on Disney+,Ara Wagoner,2019-11-06T14:28:29Z,"Your MCU movie marathon just got 20% more badass on Disney+. Oh snap! #AvengersEndgame is coming to @DisneyPlus. Start streaming the epic finale to Marvel Studios' Infinity Saga on November 12 in the US, Canada and Netherlands and on November 19 in Australia …"
Plume takes another step toward fixing ISPs’ crappy Wi-Fi worldwide,Jim Salter,2019-11-01T10:45:37Z,Plume doesn't want to be a household name—it just wants to be in every house.
Why You Should Be Counting Birds,Margaret Renkl,2019-11-04T19:14:36Z,"Yes, you can do something. Citizen-science initiatives like Project FeederWatch are a great way to start."
Flu season arrives early on Vancouver Island - Victoria News,Devon Bidal,2019-11-01T16:30:00Z,Flu season arrives early on Vancouver Island Victoria News View full coverage on Google News
Avengers: Endgame's debut on Disney Plus gets pushed up to launch day - CNET,Erin Carson,2019-11-06T14:44:21Z,Avengers Endgame is hitting Disney Plus a bit early.
Ikea plans to open small stores in Toronto core as consumers crave convenience - CP24 Toronto's Breaking News,Aleksandra Sagan,2019-11-06T11:50:00Z,Ikea plans to open small stores in Toronto core as consumers crave convenience CP24 Toronto's Breaking News View full coverage on Google News
"The Ukrainian orphan at the center of an adoption scandal says she's a teenager, and none of her adoptive parents' claims are true",Kelly McLaughlin,2019-11-04T20:22:22Z,"Natalia Grace Barnett and the couple with whom she now lives sat down with Dr. Phil for an interview airing on Thursday. Natalia, who has a rare form of dwarfism that makes it difficult to gauge her age, was thought to be somewhere between 6 and 8 when Michae…"
Save big on Windows 10 PCs: Microsoft previews Black Friday sale,PCMag,2019-11-06T15:40:25Z,"If you're in the market for a Windows 10 PC or you've been eyeing the new Surface Pro 7, you can score some killer deals on the devices you're after at the Microsoft Store this holiday shopping season. Microsoft plans to launch most of its Black Friday deals …"
"Some of the largest US wealth managers are opening their doors to cannabis stocks, but it's still tricky for advisers to make recommendations",Jeremy Berke and Rebecca Ungarino,2019-11-04T15:26:30Z,The burgeoning legal cannabis industry has seen a surge in IPOs and dealmaking. But financial advisers at some of the largest US wealth managers haven't been permitted to allow their clients to buy and sell cannabis stocks — until recently. Business Insider h…
First Nation and environmental groups seek leave to appeal Trans Mountain pipeline ruling - Global News,Staff,2019-11-05T23:19:39Z,A British Columbia First Nation and three environmental groups hope to appeal a Federal Court of Appeal decision that limited their ability to challenge the Trans Mountain pipeline expansion in court.
France 'takes back control' with non-EU migrant quotas,https://www.facebook.com/bbcnews,2019-11-06T15:57:45Z,The number of non-EU migrants will be curbed and medical access cut for those with no right to stay.
"Cannabis could help those struggling with PTSD, B.C. study finds - Victoria News",Katya Slepian,2019-11-05T22:00:00Z,"Cannabis could help those struggling with PTSD, B.C. study finds Victoria News View full coverage on Google News"
"B.C. warns of driving detours, delays ahead of years-long Kicking Horse highway upgrade - Calgary Herald",,2019-11-03T20:17:51Z,"B.C. warns of driving detours, delays ahead of years-long Kicking Horse highway upgrade Calgary Herald Detours, delays looming for Kicking Horse highway, warns B.C. government Calgary Sun View full coverage on Google News"
"Updated: High winds leave nearly than 300,000 Montrealers in the dark - Montreal Gazette",,2019-11-01T16:24:32Z,“Given the number of places where we are being called upon to intervene we cannot say exactly when power will be restored at each site.”
These Hugely Popular Local News Sites In The US And Canada Are Fake,Craig Silverman,2019-11-06T14:21:23Z,"A network of fake local news sites in Albany, Edmonton and elsewhere generated millions of pageviews as part of an ad fraud scheme, researchers say."
Compliments fresh-cut vegetables recalled due to possible Listeria - CP24 Toronto's Breaking News,The Canadian Press,2019-11-02T10:43:00Z,The Canadian Food Inspection Agency say Sobeys Inc. is recalling Compliments brand fresh cut vegetable products due to possible Listeria contamination.
Head-on crash in South Africa kills Edmonton-area family of four - CTV News,Jeff Lawrence,2019-11-05T17:49:00Z,"Melissa and Brendan Perrott, their children Evelyn, 5, and Colton, 3, were killed in a head-on crash near Bulembu, Swaziland."
Canadian cryptocurrency exchange goes dark taking over $12M in user funds with it,Matthew Beedham,2019-11-05T14:48:43Z,"Financial regulators in British Columbia, Canada are taking action against a cryptocurrency exchange that reportedly misappropriated user funds and has shut down. It has gone dark owing customers more than CAD$16 million (USD$12.1 million). Cryptocurrency tra…"
Have you downloaded the November 2019 security patch?,Joe Maring,2019-11-05T13:27:47Z,"Let's check in with the AC forums. Yesterday, November 4, Google began rolling out its November 2019 security patch to Pixel devices. As usual, the security patch comes with a host of fixes for various bugs and vulnerabilities. For Pixel 4 handsets, specifica…"
Nest Wifi’s ‘Gaming Preferred’ setting can optimize your Stadia traffic,Babu Mohan,2019-11-06T12:12:21Z,"The new setting will make sure you get the best possible gaming experience on Stadia. What you need to know Google's new Nest Wifi now offers a new ""Gaming preferred"" setting that optimizes your Stadia traffic for the best gaming experience. You access the ""G…"
Last month hottest October on record: EU climate service,AFP,2019-11-05T15:43:38Z,"Last month was the hottest October ever recorded worldwide, according to data released by the European Union's satellite monitoring service on Tuesday. Globally, temperatures were 0.69 degrees Celsius (1.25 degrees Fahrenheit) warmer than the average October …"
Costco workers get a free turkey for the holidays,Áine Cain,2019-11-01T13:06:00Z,"Costco employees receive a free turkey for the holidays. Business Insider spoke to four Costco workers from Illinois, Minnesota, Washington, and Canada. These four employees confirmed the existence of the holiday tradition, but stressed that every warehouse i…"
Bikini Kill Announce 2020 Tour,"Madison Bloom, Matthew Ismael Ruiz",2019-11-06T17:00:09Z,"Kathleen Hanna, Tobi Vail, Kathi Wilcox, and guitarist Erica Dawn Lyle play shows in the U.S., Canada, and Europe"
W5 uncovers global network of organized crime targeting Canadians in romance scams - CTV News,Avery Haines,2019-11-01T13:50:00Z,Investigative correspondent Avery Haines reveals a global criminal organization behind romance scams. This is her account of the tragic consequence resulting from one of these scams.
Jason Kenney summons fellow premiers for conference call ahead of Trudeau meeting - The Globe and Mail,,2019-11-02T00:32:40Z,Jason Kenney summons fellow premiers for conference call ahead of Trudeau meeting The Globe and Mail 'Give me a call': Lone NDP Alberta MP open to working with Liberal cabinet — but won't cross floor CBC.ca Maybe a new pipeline could win federal approval afte…
Medals from fallen WWII soldier given to Calgary granddaughter after being found in Goodwill donations - Global News,ckdec,2019-11-04T00:33:58Z,Medals from fallen WWII soldier given to Calgary granddaughter after being found in Goodwill donations Global News Second World War medals returned to family after they were donated to Goodwill Calgary Herald Donated WW II-era medals and photos returned to Ca…
China to resume imports of Canadian beef and pork - The Globe and Mail,,2019-11-05T18:15:53Z,China had suspended imports of Canadian beef and pork as diplomatic relations between two countries grew tense
"Quebec storm: Over 700,000 homes still without power as winds begin to die down - CTV News",Rachel Lau and Amy Luft and Matthew Lapierre,2019-11-02T03:25:00Z,"Quebec storm: Over 700,000 homes still without power as winds begin to die down CTV News View full coverage on Google News"
Does Mint or Metro make better use of the T-Mobile network?,Samuel Contreras,2019-11-04T17:00:00Z,More data Metro by T-Mobile From $30/mo. at Metro by T-Mobile Pros Larger data packages No overage charge Multi-line discount Unlimited talk and text Cons Phones only sold in store More expensive No international roaming Metro by T-Mobile is a great option fo…
Unicef: The Right to a Childhood,mgot,2019-11-04T18:55:13Z,"Integrated advertisement created by TBWA, Canada for Unicef, within the category: Public Interest, NGO."
Canada denies sharing Huawei CFO Meng's devices details with FBI: court documents,By Moira Warburton,2019-11-01T01:04:22Z,"Meng, 47, is charged in the United States with bank fraud and she is accused of misleading HSBC Holdings PLC about Huawei Technologies Co Ltd's business in Iran, which is under U.S. sanctions. Meng has said she is innocent and is fighting extradition."
"Over 380,000 gallons of oil spill from Keystone pipeline",Morgan Winsor,2019-11-01T11:23:07Z,"More than 380,000 gallons of oil have spilled from a leak in the Keystone pipeline in North Dakota this week, officials said."
"Ontario teens who visit ER for self-harm treatment at increased risk for later hospitalization, suicide, study shows - The Globe and Mail",,2019-11-04T05:01:00Z,"These risk factors, as well as significantly higher rates of serious mental illness, show the need for timely follow-up care after emergency department visits, the authors of a paper in the Canadian Medical Association Journal say."
"A 9,000-barrel leak in the Keystone pipeline in North Dakota spilled enough crude oil to fill half an Olympic-sized swimming pool","ktenbarge@businessinsider.com (Kat Tenbarge), Kat Tenbarge",2019-11-02T18:00:25Z,AP The second of two oil spills in two years along the Keystone pipeline resulted in half an Olympic-sized swimming pool's worth of crude oil spilling onto a North Dakota wetlands area. The Associated Press reports that the leak was discovered Tuesday night a…
"Ben Stiller, Justin Trudeau and other celebrities wished a Canadian boy a happy birthday after none of his friends showed up at his party","hpeppin@businessinsider.com (Hayley Peppin), Hayley Peppin",2019-11-05T15:01:26Z,"Win McNamee/Getty Images/Tommaso Boddi/WireImage Celebrities have sent their best wishes to an 11-year-old boy, Kade, whose friends didn't show up at his birthday party. The Canadian boy's father, Jason Foster, said his son was very ""hurt"" by the no-show part…"
Cold air stretches across much of the US as California fire conditions recede,Daniel Manzo,2019-11-03T12:30:11Z,"Cold air is settling in across much of the U.S. this weekend, while the fire weather threat in Southern California is finally over."
10-Year Proton Measurement Mystery Is Probably Solved,Ryan F. Mandelbaum,2019-11-06T18:17:00Z,A precise new measurement of the size of the proton shows a decade-long problem may now have a solution. Read more...
"Uber used Bitcoin to pay $100K hacker ransom in 2017, court docs confirm",Yessi Bello Perez,2019-11-01T15:04:10Z,"Uber used Bitcoin to pay hackers who held sensitive data for ransom, court documents have confirmed. As a result, two men pleaded guilty to charges of computer hacking and extortion, bringing a lengthy legal saga that embroiled Uber and LinkedIn-owned trainin…"
Philips launches a 24-inch Android TV designed for the kitchen,Babu Mohan,2019-11-06T17:09:26Z,"Philips wants you to stop using your tablet to watch videos in the kitchen. What you need to know Philips has launched a new 24-inch ""smart"" TV for the kitchen, featuring a built-in Google Assistant speaker. The unique Android TV has been priced at $300. It w…"
Bus company head won’t take pay cut to help end Metro Vancouver transit strike - Global News,Sean Boynton,2019-11-03T23:00:57Z,Bus company head won’t take pay cut to help end Metro Vancouver transit strike Global News Multiple SeaBus sailings cancelled Sunday due to transit job action CityNews Vancouver Transit strike: Here are today's SeaBus cancellations for Nov. 3 Vancouver Sun Se…
"Kevin O'Leary, wife being sued for wrongful death in boat crash - Toronto Sun",,2019-11-06T17:31:00Z,"Kevin O'Leary, wife being sued for wrongful death in boat crash Toronto Sun Kevin and Linda O'Leary sued for wrongful death by family of boating crash victim National Post Family of woman killed in boat crash involving Linda O’Leary suing for wrongful death C…"
Sherwood Park missionary family killed in South Africa crash - Edmonton Journal,,2019-11-05T23:11:35Z,"A family of four from Sherwood Park were killed in a head-on car crash in South Africa Sunday, according to a GoFundMe campaign for the family.Brendan and Melissa Perrott, along with their children…"
How a changing NHL game means it’s cool to score again - Sportsnet.ca,Mark Spector,2019-11-01T21:13:00Z,"The month of October gave us five 20-point players across the National Hockey League for the first time since 1993-94, when a group that included Wayne Gretzky and Eric Lindros turned the trick."
Looking to the Future With IDS20/20,Vy Tran,2019-11-06T15:00:53Z,IDS Toronto is going to bring a future-forward vision to its 20th edition of the show in January 2020 with the theme IDS20/20.
"Donald Trump says Meghan Markle is taking the media scrutiny 'very, very personally,' but he 'can understand it'",Mikhaila Friel,2019-11-01T11:23:00Z,"Donald Trump says Meghan Markle is taking the media scrutiny ""very, very personally,"" after the duchess emotionally opened up about its impact on her mental health. Speaking with Nigel Farage on LBC, the US President said: ""Well, I've been watching her interv…"
Mockery being made of right to privacy: Kabir Kala Manch activist,Shoumojit Banerjee,2019-11-01T04:52:47Z,Canada-based Citizen Lab advised Kabir Kala Manch activist Rupali Jadhav to change Android phone
